,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
6053,50,technician,103,yes,no,unknown,may,6,-1,unknown,0,-0.07371789,0
2261,32,management,-383,yes,no,unknown,may,1,-1,unknown,0,-0.0803714,0
4606,49,blue-collar,1946,no,no,cellular,oct,1,95,success,0,-0.032672457,1
5452,36,blue-collar,1193,no,no,cellular,oct,1,-1,unknown,0,-0.078473784,1
604,56,services,191,no,no,cellular,jul,3,-1,unknown,0,-0.08357299,0
7110,39,technician,902,yes,no,cellular,feb,2,180,failure,0,-0.04432714,1
4618,44,management,792,no,no,cellular,aug,7,-1,unknown,0,-0.09370791,1
3317,30,management,119,no,no,cellular,jan,1,-1,unknown,0,-0.081092924,0
3200,25,blue-collar,2483,no,no,cellular,jul,3,-1,unknown,0,-0.088049196,1
4767,72,retired,4657,no,no,telephone,mar,1,91,success,1,0.046523355,1
3533,31,management,533,no,no,telephone,may,1,90,success,0,-0.0039606323,1
7539,33,admin,146,no,no,cellular,oct,1,91,success,0,-0.039985616,1
3525,21,technician,360,no,no,cellular,may,2,-1,unknown,0,-0.09983057,1
5461,52,housemaid,256,no,no,cellular,aug,1,-1,unknown,0,-0.07912636,0
4524,31,management,81,yes,no,cellular,oct,2,-1,unknown,0,-0.069309555,1
3792,43,admin,0,no,no,unknown,jun,12,-1,unknown,0,-0.035589773,0
2021,38,management,151,yes,no,cellular,jul,1,-1,unknown,0,-0.09792021,0
5450,31,management,533,no,no,cellular,feb,1,91,success,0,-0.055869475,1
7081,57,management,123,no,no,cellular,feb,2,-1,unknown,0,-0.096740544,0
1193,52,blue-collar,955,no,yes,cellular,jun,2,134,success,0,-0.016368698,1
1353,41,entrepreneur,-413,yes,no,unknown,may,2,-1,unknown,0,-0.083663486,0
1358,26,management,2786,no,no,cellular,jun,2,72,success,0,-0.03610691,1
6488,67,unknown,7687,no,no,telephone,oct,3,-1,unknown,1,0.00026938439,0
1191,40,technician,-357,yes,no,cellular,jul,4,-1,unknown,0,-0.085130796,1
4785,31,management,78,yes,no,cellular,jul,2,-1,unknown,0,-0.096529625,0
6780,35,admin,437,yes,no,unknown,jun,1,-1,unknown,0,-0.051448707,1
7372,37,admin,10465,no,no,unknown,jun,6,-1,unknown,0,-0.034925256,0
7768,29,management,1026,no,no,cellular,feb,2,92,success,0,-0.04908407,1
6209,36,blue-collar,17,yes,no,cellular,jul,1,-1,unknown,0,-0.08487349,0
3492,54,technician,114,no,no,cellular,jul,3,-1,unknown,0,-0.09199041,1
6470,38,technician,226,yes,no,unknown,may,3,-1,unknown,0,-0.07243801,1
6481,42,entrepreneur,2959,yes,no,telephone,jul,1,342,failure,1,0.02927743,1
26,28,student,3733,yes,no,cellular,aug,5,91,success,1,0.02535519,0
1306,77,retired,820,no,no,telephone,oct,2,181,success,1,0.043847296,1
6272,43,blue-collar,1311,yes,no,unknown,may,1,-1,unknown,0,-0.09506072,0
1713,34,management,0,yes,no,cellular,aug,1,99,success,0,-0.036047313,1
2138,47,blue-collar,603,yes,yes,cellular,may,1,-1,unknown,0,-0.06280612,1
4939,46,technician,966,yes,yes,cellular,aug,2,-1,unknown,0,-0.052327365,0
6174,45,management,483,no,no,cellular,feb,2,265,other,0,-0.036536627,1
1519,49,blue-collar,598,yes,no,cellular,may,6,-1,unknown,0,-0.084652215,0
1907,50,admin,363,yes,no,unknown,may,1,-1,unknown,0,-0.076746844,1
3748,30,management,7,yes,no,cellular,aug,1,164,other,0,-0.023196245,1
6515,54,technician,2102,yes,no,cellular,apr,1,626,failure,0,-0.018980721,1
6807,59,technician,259,no,no,cellular,jun,1,89,success,0,-0.048543163,1
3658,33,management,0,yes,no,cellular,apr,1,-1,unknown,0,-0.087999396,1
515,50,management,0,yes,no,unknown,may,4,-1,unknown,0,-0.08260797,0
3560,52,services,659,no,no,cellular,jan,4,93,success,0,-0.026086032,1
2668,32,blue-collar,225,yes,no,cellular,apr,1,150,failure,0,-0.046112217,1
7597,35,management,73,yes,no,unknown,may,2,-1,unknown,0,-0.08640177,0
1472,29,blue-collar,455,no,no,telephone,may,2,36,success,0,-0.005057919,1
6093,45,services,318,no,no,cellular,jul,2,-1,unknown,0,-0.08887715,0
6733,56,management,3287,no,no,cellular,apr,1,-1,unknown,0,-0.09329309,1
776,40,technician,372,yes,no,cellular,nov,1,100,failure,0,-0.028493974,0
5652,39,housemaid,267,no,no,unknown,jun,5,-1,unknown,0,-0.053721774,0
6899,34,entrepreneur,7279,yes,no,cellular,may,1,-1,unknown,0,-0.08165142,1
6074,31,student,3511,no,no,cellular,oct,1,96,success,1,0.0008048391,1
2897,36,management,649,no,no,cellular,jul,2,91,failure,0,-0.04255734,0
6812,40,management,257,no,no,cellular,feb,1,209,failure,0,-0.04331837,0
7548,36,technician,368,yes,yes,unknown,may,2,-1,unknown,0,-0.04441984,1
6451,42,services,410,no,no,cellular,nov,2,-1,unknown,0,-0.08218463,0
2386,24,management,867,yes,no,unknown,jun,10,-1,unknown,0,-0.011053399,1
2114,41,blue-collar,1250,yes,no,unknown,may,2,-1,unknown,0,-0.08043423,1
3022,52,management,6,no,no,telephone,oct,1,-1,unknown,0,-0.027440475,0
5087,41,technician,501,yes,no,unknown,may,5,-1,unknown,0,-0.067491375,1
2116,57,retired,168,no,no,cellular,aug,1,-1,unknown,0,-0.08577554,1
3626,55,unemployed,387,yes,no,unknown,may,1,-1,unknown,0,-0.04832301,1
2857,50,entrepreneur,78,no,no,telephone,jun,1,-1,unknown,0,-0.03255702,0
3225,27,management,145,yes,no,cellular,may,4,89,failure,0,-0.034459937,0
7238,20,student,829,no,no,cellular,jan,3,202,success,1,0.0028810145,1
6735,47,technician,293,no,no,cellular,mar,1,-1,unknown,0,-0.08373199,1
2667,61,retired,1257,no,no,cellular,feb,1,-1,unknown,0,-0.09414447,1
4667,60,admin,106,no,no,cellular,aug,3,91,success,0,-0.03812393,1
6685,36,services,9713,yes,no,unknown,may,3,-1,unknown,0,-0.06287714,0
1924,38,blue-collar,0,no,no,unknown,jun,2,-1,unknown,0,-0.06041588,0
1342,26,self-employed,2857,no,no,cellular,jul,1,-1,unknown,0,-0.07445629,1
769,40,admin,877,yes,no,cellular,nov,3,177,failure,0,-0.029464392,0
3899,36,blue-collar,199,yes,no,cellular,jul,1,-1,unknown,0,-0.08487349,0
3119,35,management,2885,no,no,cellular,aug,3,43,other,0,-0.04048978,1
7262,39,services,702,yes,no,cellular,apr,1,300,failure,0,-0.032340955,0
6699,72,retired,438,no,no,cellular,feb,1,-1,unknown,0,-0.090435736,1
3888,52,technician,-38,no,no,unknown,jun,1,-1,unknown,0,-0.06894398,0
6261,46,blue-collar,804,yes,no,cellular,may,2,361,success,0,-0.039823115,1
1213,32,management,769,no,no,cellular,aug,2,-1,unknown,0,-0.10251031,1
7509,59,retired,417,yes,no,cellular,may,2,-1,unknown,0,-0.08799207,0
6900,24,self-employed,2376,no,no,cellular,apr,1,-1,unknown,0,-0.081784576,1
7290,39,admin,160,yes,no,cellular,aug,1,-1,unknown,0,-0.0901418,0
2433,32,blue-collar,-1,yes,no,unknown,may,1,-1,unknown,0,-0.081035435,1
5969,26,student,641,yes,no,cellular,may,1,368,failure,0,-0.015163464,0
7505,26,admin,5231,no,yes,cellular,jul,2,-1,unknown,0,-0.06652771,0
1714,37,management,1027,yes,no,cellular,mar,1,152,success,0,-0.031370178,1
45,32,services,228,yes,no,cellular,jul,6,-1,unknown,0,-0.081193425,1
5858,33,management,373,no,yes,cellular,jul,1,180,failure,0,-0.018375713,1
4229,37,management,630,no,no,cellular,apr,1,87,success,0,-0.05428714,1
2687,68,retired,2812,no,no,cellular,feb,2,181,failure,0,-0.034277912,1
3736,52,admin,2398,yes,no,cellular,nov,1,-1,unknown,0,-0.07831247,1
3230,44,blue-collar,1397,no,no,cellular,nov,1,-1,unknown,0,-0.081940986,0
2568,41,services,205,yes,no,unknown,may,1,-1,unknown,0,-0.08871322,0
1784,47,technician,1981,yes,no,cellular,jul,2,-1,unknown,0,-0.08761505,1
585,77,retired,2590,no,no,telephone,nov,3,277,failure,1,0.05165364,1
3890,61,retired,3738,no,no,telephone,feb,1,-1,unknown,0,-0.033714443,0
7454,57,admin,0,yes,no,unknown,may,2,-1,unknown,0,-0.084710784,0
5906,51,services,3413,no,no,cellular,aug,7,-1,unknown,0,-0.07204279,0
3409,45,management,10,no,no,cellular,aug,7,-1,unknown,0,-0.097545415,0
4894,39,blue-collar,0,yes,no,unknown,may,1,-1,unknown,0,-0.09612816,0
3183,40,management,4396,no,no,cellular,aug,3,-1,unknown,0,-0.094037965,1
688,55,management,-375,no,no,cellular,jul,2,-1,unknown,0,-0.09340567,1
2618,32,admin,200,no,no,cellular,sep,1,29,failure,0,-0.0365846,1
5116,33,admin,920,no,no,cellular,aug,1,105,success,0,-0.04143429,0
4920,23,student,0,no,no,cellular,aug,1,-1,unknown,0,-0.055028293,1
6084,47,admin,3696,no,no,cellular,jul,2,181,success,0,-0.04126336,1
7078,77,retired,0,no,no,cellular,aug,1,-1,unknown,0,-0.07600595,1
453,38,blue-collar,2467,no,no,cellular,jun,1,-1,unknown,0,-0.08379277,1
3427,55,technician,0,no,no,cellular,jul,2,-1,unknown,0,-0.09090448,0
1154,27,technician,501,no,yes,telephone,jan,4,-1,unknown,0,-0.008249689,0
1874,40,blue-collar,2129,yes,no,cellular,apr,3,-1,unknown,0,-0.07768546,0
1171,33,management,3770,no,no,cellular,jan,2,-1,unknown,0,-0.08169951,0
3831,35,blue-collar,975,yes,no,cellular,jul,1,-1,unknown,0,-0.081115596,0
2046,59,management,0,yes,no,cellular,jul,8,-1,unknown,0,-0.070461005,0
4582,57,retired,1623,yes,yes,cellular,jul,1,-1,unknown,0,-0.05566238,0
2466,28,student,5916,no,no,cellular,may,1,63,failure,0,-0.013752301,0
7008,37,technician,3665,no,no,cellular,aug,3,-1,unknown,0,-0.08851449,1
6596,24,student,1925,no,no,cellular,aug,1,-1,unknown,0,-0.054159716,1
7775,29,admin,127,yes,yes,cellular,apr,1,-1,unknown,0,-0.048459817,0
5884,33,blue-collar,263,yes,no,unknown,may,3,-1,unknown,0,-0.09485361,0
6597,38,services,5293,yes,no,cellular,may,1,171,failure,0,-0.042842463,1
375,28,blue-collar,3430,yes,no,unknown,jun,6,-1,unknown,0,-0.029358188,0
7092,21,student,794,no,no,cellular,jun,1,-1,unknown,0,-0.061007436,1
730,27,technician,2781,yes,no,cellular,may,1,389,failure,0,-0.03943786,1
7769,55,retired,0,no,no,cellular,aug,1,-1,unknown,0,-0.0848608,1
6814,54,retired,11,yes,yes,cellular,aug,10,-1,unknown,0,-0.032264326,0
2362,63,technician,896,yes,no,cellular,jan,3,91,other,0,-0.010854728,0
917,45,technician,44,yes,no,unknown,may,4,-1,unknown,0,-0.08624517,0
3513,30,unemployed,7105,no,no,cellular,dec,2,-1,unknown,0,-0.049068686,1
3801,31,self-employed,84,no,no,cellular,aug,4,-1,unknown,0,-0.06743857,0
1019,38,blue-collar,2008,yes,no,cellular,nov,1,-1,unknown,0,-0.077456094,0
3164,38,blue-collar,947,yes,no,cellular,may,2,-1,unknown,0,-0.10078595,0
1576,32,management,131,no,no,unknown,jun,3,-1,unknown,0,-0.059229847,0
3866,35,unemployed,415,no,no,cellular,feb,1,176,failure,0,-0.030843928,1
1309,36,technician,2473,no,no,cellular,aug,4,-1,unknown,0,-0.09157294,1
4902,59,blue-collar,6212,yes,no,cellular,may,2,-1,unknown,0,-0.07649467,0
624,29,blue-collar,100,yes,yes,cellular,may,4,344,failure,1,0.005591953,0
3550,27,self-employed,5214,yes,no,unknown,may,1,-1,unknown,0,-0.03583337,0
5199,22,student,254,no,no,cellular,jan,2,-1,unknown,0,-0.050498348,1
4464,54,blue-collar,1636,no,no,telephone,jul,2,-1,unknown,0,-0.040697288,1
99,32,technician,235,yes,no,telephone,aug,6,-1,unknown,0,-0.013877437,0
2605,31,technician,373,no,no,cellular,aug,5,-1,unknown,0,-0.09734669,0
2283,58,retired,999,no,no,cellular,jul,6,-1,unknown,0,-0.076953545,0
6270,39,admin,130,yes,yes,cellular,feb,2,-1,unknown,0,-0.057362884,1
1663,54,admin,0,no,no,cellular,jan,1,98,failure,0,-0.023367858,1
173,52,technician,475,yes,no,cellular,jul,3,-1,unknown,0,-0.08518586,0
7325,40,services,446,yes,no,unknown,may,1,-1,unknown,0,-0.07389591,1
6336,45,management,904,yes,yes,unknown,jun,9,-1,unknown,0,-0.007152291,0
3714,27,technician,58,yes,no,unknown,may,1,-1,unknown,0,-0.08242063,0
2725,33,management,55,no,no,cellular,apr,2,87,failure,0,-0.050593965,1
5975,38,technician,0,no,no,cellular,jul,1,-1,unknown,0,-0.099873796,1
2118,42,services,83,no,no,cellular,may,5,358,failure,0,-0.027237039,0
960,33,services,1595,yes,no,unknown,may,1,-1,unknown,0,-0.08431382,0
7034,55,blue-collar,3297,yes,yes,telephone,apr,1,-1,unknown,1,0.0029651918,0
2077,35,technician,328,yes,no,cellular,jul,2,-1,unknown,0,-0.09271555,1
1205,36,unemployed,0,no,no,telephone,jul,3,-1,unknown,0,-0.04137968,0
3012,35,blue-collar,147,yes,no,cellular,may,1,337,failure,0,-0.04979082,0
2763,47,management,274,no,yes,cellular,feb,2,-1,unknown,0,-0.0676168,0
680,31,blue-collar,2194,no,no,cellular,may,2,357,other,0,-0.021562207,0
2279,40,services,-116,yes,no,unknown,may,3,-1,unknown,0,-0.0883961,0
3918,42,services,466,no,no,cellular,jan,1,-1,unknown,0,-0.07356146,0
190,59,management,2239,no,no,cellular,may,1,-1,unknown,0,-0.09807466,1
2331,28,unemployed,482,no,no,cellular,may,1,-1,unknown,0,-0.08172509,1
5041,37,services,54,yes,no,cellular,jul,1,-1,unknown,0,-0.09356676,0
2930,35,management,4348,yes,no,cellular,apr,3,217,failure,0,-0.03486685,0
340,39,entrepreneur,942,yes,no,cellular,aug,3,267,other,1,0.0038954015,1
1820,43,blue-collar,18,yes,no,cellular,may,2,370,other,0,-0.014859058,0
2925,25,services,130,yes,no,cellular,jul,1,-1,unknown,0,-0.09112033,0
5208,42,admin,1022,yes,no,unknown,may,2,-1,unknown,0,-0.09473672,0
3769,30,technician,120,yes,no,cellular,may,1,-1,unknown,0,-0.09888033,0
6423,29,self-employed,1579,no,no,cellular,jul,1,181,success,0,-0.024620835,1
5901,25,technician,505,no,yes,cellular,nov,2,-1,unknown,0,-0.051500358,1
5701,25,admin,184,no,yes,telephone,jul,7,-1,unknown,0,-0.013944355,0
4949,25,blue-collar,101,no,yes,cellular,jul,3,-1,unknown,0,-0.06277347,1
7378,42,technician,-805,no,no,cellular,aug,6,-1,unknown,0,-0.09312574,0
1004,42,management,478,no,yes,cellular,jul,1,-1,unknown,0,-0.07829276,0
587,50,management,313,no,no,telephone,oct,1,-1,unknown,0,-0.03272009,1
1274,33,blue-collar,934,yes,no,unknown,jun,2,-1,unknown,0,-0.056069337,0
3612,44,management,294,no,no,cellular,apr,3,-1,unknown,0,-0.09495656,1
4334,32,admin,57,no,yes,cellular,jul,2,-1,unknown,0,-0.07174068,0
3035,87,retired,2190,no,no,telephone,jan,2,-1,unknown,0,-0.017230889,1
4007,70,retired,2626,no,no,cellular,sep,2,-1,unknown,0,-0.076881185,1
3593,32,technician,1119,no,no,cellular,nov,2,-1,unknown,0,-0.078444906,0
2364,49,admin,1096,yes,no,cellular,apr,1,303,failure,0,-0.027720926,0
6606,25,student,722,no,no,telephone,apr,2,-1,unknown,0,-0.008562159,1
2291,29,blue-collar,8,yes,yes,cellular,jul,1,-1,unknown,0,-0.051790368,1
3396,40,admin,1248,no,no,unknown,jun,2,-1,unknown,0,-0.053127572,1
772,26,management,222,no,no,cellular,apr,1,334,failure,0,-0.041663736,1
4376,30,services,140,yes,no,cellular,may,1,-1,unknown,0,-0.10114701,1
4458,34,management,417,yes,no,cellular,aug,1,174,failure,0,-0.044381566,1
7599,53,management,2152,no,no,cellular,feb,3,-1,unknown,0,-0.09538678,1
2939,43,management,1696,yes,no,cellular,aug,1,474,failure,0,-0.022185488,1
4296,49,management,234,no,no,cellular,aug,6,-1,unknown,0,-0.09936842,0
5055,46,blue-collar,-3,yes,no,unknown,may,2,-1,unknown,0,-0.09359793,0
259,20,student,0,no,no,cellular,feb,5,91,failure,1,0.002199996,0
2358,29,self-employed,123,no,yes,cellular,oct,1,184,success,1,0.0059283474,1
5227,31,management,-6,no,yes,cellular,aug,6,-1,unknown,0,-0.06255184,0
6572,42,admin,527,no,yes,cellular,oct,1,185,success,0,-0.0070367246,1
4344,37,blue-collar,3517,yes,no,unknown,may,1,-1,unknown,0,-0.085764475,0
2183,52,blue-collar,1524,no,no,cellular,jul,6,-1,unknown,0,-0.07667029,1
3938,26,technician,-454,no,yes,cellular,jul,2,-1,unknown,0,-0.0670678,0
7375,53,admin,0,yes,yes,cellular,apr,2,-1,unknown,0,-0.044297364,0
1095,34,management,2633,yes,no,cellular,nov,6,-1,unknown,0,-0.07400696,1
4171,31,technician,1570,yes,no,cellular,mar,4,286,failure,0,-0.022324806,1
5182,41,entrepreneur,0,no,no,unknown,jun,2,-1,unknown,0,-0.054277204,0
2699,56,services,616,no,no,unknown,jun,1,-1,unknown,0,-0.03675829,0
5695,33,management,935,no,no,cellular,feb,2,92,success,0,-0.054958597,1
4787,57,management,3287,no,no,cellular,mar,2,337,success,0,-0.027054604,1
1943,38,technician,217,yes,no,unknown,jun,6,-1,unknown,0,-0.03500434,1
4539,27,services,339,no,no,cellular,jun,1,-1,unknown,0,-0.07090708,1
2080,79,retired,8556,no,no,telephone,jan,2,272,success,1,0.04894756,1
186,30,admin,-213,yes,yes,unknown,may,1,-1,unknown,0,-0.050320804,1
5902,38,blue-collar,362,yes,no,unknown,may,5,-1,unknown,0,-0.09014622,0
5181,41,admin,1967,yes,no,cellular,may,1,341,failure,0,-0.039455608,0
2721,30,technician,778,yes,no,cellular,may,2,346,failure,0,-0.042610973,0
6013,52,management,4358,no,no,telephone,jul,7,-1,unknown,0,-0.037161063,0
7770,56,blue-collar,8163,no,no,cellular,aug,4,-1,unknown,0,-0.06743749,1
4439,33,technician,2565,yes,no,cellular,may,2,-1,unknown,0,-0.09619079,0
6729,36,technician,-15,yes,no,unknown,may,3,-1,unknown,0,-0.08781269,0
997,33,technician,8,no,no,cellular,aug,2,-1,unknown,0,-0.102572225,0
3858,38,unemployed,7005,yes,no,cellular,jan,1,202,success,0,-0.015211682,1
2558,44,services,608,yes,yes,unknown,jun,30,-1,unknown,1,0.015297628,0
6024,32,technician,127,yes,no,cellular,aug,17,-1,unknown,0,-0.057114832,0
6585,28,management,939,yes,no,unknown,may,1,-1,unknown,0,-0.070831686,1
2538,46,management,149,no,no,cellular,nov,2,-1,unknown,0,-0.09031811,1
3422,33,admin,607,no,no,cellular,feb,2,-1,unknown,0,-0.10540314,1
2995,44,technician,285,yes,no,cellular,may,3,-1,unknown,0,-0.098094195,0
4364,33,blue-collar,285,no,yes,unknown,jul,1,-1,unknown,0,-0.014533828,0
5245,71,retired,3561,no,no,telephone,mar,7,-1,unknown,0,-0.0009491276,1
3410,36,admin,3954,yes,no,unknown,may,1,-1,unknown,0,-0.08267006,0
3265,47,technician,568,yes,no,telephone,jul,2,-1,unknown,0,-0.033509284,0
52,58,management,3161,no,no,telephone,jul,2,-1,unknown,0,-0.039482858,1
727,33,management,1534,yes,no,cellular,jul,2,-1,unknown,0,-0.095611334,1
4717,35,technician,3490,yes,no,cellular,aug,2,-1,unknown,0,-0.07633191,1
4257,71,technician,3020,no,no,telephone,jul,1,270,failure,1,0.025135087,1
686,33,technician,3243,no,no,cellular,aug,4,-1,unknown,0,-0.088193364,1
7531,59,retired,1115,no,no,unknown,jun,1,-1,unknown,0,-0.028516153,1
2171,34,blue-collar,29,yes,no,cellular,may,5,-1,unknown,0,-0.09396207,1
3020,31,self-employed,762,no,no,cellular,aug,3,-1,unknown,0,-0.07017233,0
2691,40,blue-collar,1844,yes,no,cellular,may,1,-1,unknown,0,-0.09931186,0
6592,78,retired,8556,no,no,telephone,apr,2,-1,unknown,0,-0.011323952,1
1491,55,blue-collar,890,no,no,cellular,aug,2,-1,unknown,0,-0.08665495,1
7469,55,housemaid,10,no,no,cellular,feb,3,-1,unknown,0,-0.08719808,0
1092,53,management,3754,no,no,cellular,apr,1,278,failure,0,-0.043880396,1
6630,28,blue-collar,4287,no,no,cellular,apr,1,-1,unknown,0,-0.07926824,0
5520,33,management,1304,yes,no,cellular,may,2,-1,unknown,0,-0.09992849,1
4666,41,technician,1646,yes,no,cellular,may,1,90,success,0,-0.051476896,1
2948,35,admin,0,no,no,cellular,jul,11,-1,unknown,0,-0.07268763,0
3303,48,entrepreneur,0,no,yes,cellular,jul,2,-1,unknown,0,-0.043842927,1
5625,27,blue-collar,-588,no,no,unknown,may,2,-1,unknown,0,-0.0768224,0
5841,52,blue-collar,306,no,no,cellular,jan,1,-1,unknown,0,-0.0786968,1
2781,31,management,22867,yes,no,unknown,may,2,-1,unknown,0,-0.05100971,0
4347,77,retired,1385,no,no,telephone,sep,4,-1,unknown,0,-0.010280136,0
1852,55,technician,1320,no,no,cellular,jul,1,91,success,0,-0.044924665,1
5289,30,management,536,no,no,cellular,jul,1,-1,unknown,0,-0.10187508,1
2879,48,admin,1060,yes,no,cellular,apr,2,318,failure,0,-0.029375803,0
4533,48,management,4415,yes,no,cellular,apr,3,141,failure,0,-0.032881297,1
4531,46,management,2044,no,no,telephone,feb,1,-1,unknown,0,-0.04406312,0
1626,46,blue-collar,922,yes,no,telephone,nov,2,-1,unknown,0,-0.027599033,0
7259,30,admin,305,no,no,cellular,apr,1,85,success,0,-0.043388538,1
5676,58,retired,1241,no,no,cellular,aug,2,-1,unknown,0,-0.086762495,1
4104,53,technician,10185,no,no,cellular,mar,1,-1,unknown,0,-0.062476,1
7036,34,technician,440,yes,no,cellular,may,2,345,failure,0,-0.0439787,0
332,41,entrepreneur,707,no,no,unknown,jun,1,-1,unknown,0,-0.035023216,1
3208,48,management,1600,no,no,cellular,nov,1,-1,unknown,0,-0.09221344,0
2174,34,management,13014,no,no,cellular,aug,1,-1,unknown,0,-0.08365208,1
6293,26,admin,-930,yes,no,cellular,may,1,-1,unknown,0,-0.09686505,1
1440,40,blue-collar,-35,yes,no,cellular,may,3,-1,unknown,0,-0.09962907,0
1588,29,admin,-309,yes,yes,unknown,jun,1,-1,unknown,0,-0.027916947,0
1099,25,student,703,no,no,cellular,may,3,-1,unknown,0,-0.06600205,0
5735,35,technician,2047,yes,no,cellular,oct,1,-1,unknown,0,-0.05892661,0
7570,44,management,6203,yes,yes,unknown,may,1,-1,unknown,0,-0.048377562,0
3440,29,blue-collar,9,yes,no,cellular,may,3,-1,unknown,0,-0.09537542,0
798,45,self-employed,396,no,no,cellular,aug,1,-1,unknown,0,-0.07490438,0
2919,41,admin,124,yes,no,cellular,may,3,-1,unknown,0,-0.107777886,0
4436,66,retired,3473,no,no,cellular,apr,2,-1,unknown,0,-0.0706926,0
1059,44,self-employed,2734,yes,no,cellular,may,4,-1,unknown,0,-0.07361177,1
4036,31,services,1629,yes,no,unknown,may,2,-1,unknown,0,-0.0831338,0
5119,43,admin,2682,no,no,cellular,jul,8,-1,unknown,0,-0.080746695,0
5808,22,services,129,no,no,cellular,apr,2,181,success,0,-0.031670447,1
535,37,housemaid,465,yes,no,cellular,may,3,-1,unknown,0,-0.08741678,1
1725,68,retired,451,no,no,cellular,mar,1,-1,unknown,0,-0.06282282,1
2058,59,retired,574,no,no,cellular,aug,6,-1,unknown,0,-0.07896283,0
4590,36,blue-collar,2176,yes,no,unknown,may,2,-1,unknown,0,-0.09106766,0
2268,42,admin,-466,no,yes,telephone,jul,15,-1,unknown,1,0.0075149364,0
1331,34,blue-collar,320,yes,no,cellular,nov,1,92,success,0,-0.024118902,1
5780,40,entrepreneur,0,no,no,unknown,jun,4,-1,unknown,0,-0.028259251,1
3413,48,services,1573,no,no,cellular,aug,1,-1,unknown,0,-0.084440626,0
5679,44,housemaid,-156,no,yes,cellular,jul,2,-1,unknown,0,-0.051361267,1
5195,37,management,565,no,no,cellular,aug,1,93,failure,0,-0.058082666,1
7146,59,retired,0,no,no,cellular,aug,4,-1,unknown,0,-0.07959914,0
644,26,technician,223,no,yes,cellular,jul,3,-1,unknown,0,-0.06906709,1
2035,40,services,518,no,no,telephone,jul,1,-1,unknown,0,-0.04228194,0
2451,39,services,326,yes,no,unknown,may,1,-1,unknown,0,-0.08871322,0
7803,31,admin,54,yes,no,cellular,nov,1,-1,unknown,0,-0.081639916,0
3889,64,entrepreneur,2331,no,no,telephone,nov,1,-1,unknown,0,-0.00042516162,1
6697,44,management,0,no,no,unknown,jun,1,-1,unknown,0,-0.06473765,0
2987,58,technician,3399,no,no,cellular,may,1,97,other,0,-0.048781343,1
2022,20,student,6991,no,no,cellular,aug,2,-1,unknown,0,-0.04262767,1
1028,54,housemaid,962,yes,no,cellular,oct,3,-1,unknown,0,-0.038817897,1
1876,30,unemployed,2424,no,no,cellular,feb,1,95,success,0,-0.041526932,1
808,35,technician,633,yes,yes,cellular,feb,3,5,other,0,-0.0048007444,0
7294,36,self-employed,506,no,no,cellular,nov,1,70,failure,0,-0.014488018,1
4768,48,management,0,no,yes,cellular,feb,4,182,success,0,-0.01450322,1
3552,59,self-employed,2013,no,no,cellular,feb,4,94,success,0,-0.018386712,1
7746,39,technician,3494,yes,no,cellular,nov,1,92,failure,0,-0.026423778,0
7374,36,technician,15485,no,no,cellular,apr,1,-1,unknown,0,-0.06861075,1
2905,66,retired,203,no,no,cellular,jan,1,195,success,0,-0.031045442,1
5952,39,management,-974,no,yes,cellular,aug,4,-1,unknown,0,-0.06464992,0
