,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit
6697,44,management,0,no,no,unknown,jun,1,-1,other,divorced,tertiary,no,6,373,0,0
2669,47,management,4567,no,no,telephone,jul,4,-1,other,married,unknown,no,31,921,0,0
7261,33,management,2240,no,no,cellular,mar,2,278,success,divorced,tertiary,no,8,264,1,1
7348,31,services,181,no,no,cellular,apr,1,-1,other,single,secondary,no,30,325,0,1
5166,35,technician,144,no,no,cellular,jul,2,-1,other,single,secondary,no,22,163,0,0
1206,31,technician,454,no,no,cellular,apr,1,-1,other,single,tertiary,no,30,266,0,1
1948,54,management,2895,yes,no,cellular,feb,2,256,failure,married,secondary,no,9,20,1,0
5628,34,technician,1012,yes,yes,telephone,oct,1,-1,other,married,secondary,no,28,540,0,1
1956,30,admin,457,no,no,cellular,apr,2,-1,other,single,secondary,no,27,90,0,0
6571,38,management,1349,yes,no,unknown,may,1,-1,other,married,unknown,no,6,100,0,0
633,32,admin,131,yes,no,cellular,jun,1,183,success,single,secondary,no,22,522,2,1
6455,50,unemployed,558,no,no,cellular,jul,1,683,failure,married,unknown,no,9,464,6,1
1898,59,technician,2396,no,no,cellular,nov,1,-1,other,divorced,secondary,no,20,488,0,1
7115,35,technician,0,no,no,cellular,jul,2,-1,other,married,secondary,no,14,125,0,0
7788,24,unemployed,125,no,no,cellular,nov,1,90,failure,single,secondary,no,9,263,1,1
4265,41,blue-collar,580,yes,no,cellular,may,1,363,failure,married,secondary,no,14,874,1,1
5520,33,management,1304,yes,no,cellular,may,2,-1,other,single,tertiary,no,18,536,0,1
1282,32,admin,752,yes,no,cellular,may,2,166,failure,married,secondary,no,6,519,5,1
2656,34,technician,559,no,no,cellular,aug,2,-1,other,single,secondary,no,22,259,0,0
2992,33,technician,317,yes,no,cellular,jun,1,80,other,single,tertiary,no,4,323,14,1
6456,42,management,187,no,no,cellular,aug,1,-1,other,married,tertiary,no,11,64,0,0
3137,31,management,515,no,no,cellular,jun,5,-1,other,single,tertiary,no,1,296,0,1
6350,27,admin,138,no,no,cellular,jun,2,-1,other,single,tertiary,no,15,89,0,1
5847,60,services,758,no,no,cellular,feb,1,-1,other,divorced,secondary,no,3,282,0,0
2048,60,admin,3735,no,no,cellular,mar,1,90,success,married,secondary,no,22,248,10,1
827,32,services,2378,no,no,cellular,nov,2,-1,other,single,unknown,no,17,1132,0,1
851,80,unemployed,173,no,no,cellular,aug,3,-1,other,married,secondary,no,2,87,0,0
5557,44,management,13054,yes,no,cellular,may,2,174,other,married,secondary,no,11,471,12,0
7300,47,management,-230,no,no,cellular,feb,1,-1,other,single,tertiary,no,4,293,0,0
6771,57,technician,589,yes,no,cellular,aug,1,190,failure,married,secondary,no,11,167,5,1
2034,35,management,0,no,no,cellular,aug,6,-1,other,single,tertiary,no,25,81,0,0
7168,49,blue-collar,1032,yes,no,unknown,jun,5,-1,other,married,primary,no,2,41,0,0
2533,50,admin,3608,yes,no,cellular,may,8,182,success,married,secondary,no,14,196,4,1
3586,32,management,8929,no,no,cellular,mar,1,-1,other,married,tertiary,no,11,126,0,1
2455,31,admin,81,yes,no,cellular,apr,2,165,other,single,secondary,no,23,215,11,0
1768,50,management,5969,no,no,cellular,jan,1,544,failure,married,tertiary,no,25,455,2,1
2689,36,blue-collar,49,yes,no,cellular,may,2,365,other,married,primary,no,15,232,5,0
4570,39,management,763,yes,no,cellular,may,7,300,other,married,tertiary,no,11,877,2,1
4822,35,technician,515,yes,yes,cellular,aug,3,-1,other,divorced,secondary,no,29,114,0,0
1127,46,technician,1,yes,yes,unknown,may,3,-1,other,divorced,secondary,no,26,200,0,0
2238,51,management,-55,yes,no,cellular,may,2,266,failure,single,tertiary,yes,11,281,6,0
3146,39,management,93,yes,yes,cellular,may,2,331,failure,single,tertiary,no,13,196,3,0
4527,38,services,0,yes,no,cellular,nov,2,-1,other,married,primary,no,17,960,0,0
59,50,admin,-194,yes,no,cellular,apr,2,-1,other,divorced,secondary,no,13,238,0,0
693,31,admin,690,no,no,cellular,may,4,87,failure,single,secondary,no,4,10,12,0
742,37,entrepreneur,66,no,no,cellular,nov,2,-1,other,divorced,tertiary,no,18,1164,0,1
1955,35,blue-collar,262,no,no,cellular,mar,1,181,success,married,secondary,no,15,427,3,1
204,30,blue-collar,297,no,no,cellular,apr,4,-1,other,single,tertiary,no,7,465,0,1
4708,34,management,747,no,no,cellular,aug,2,98,failure,single,tertiary,no,31,72,1,0
4285,34,management,250,no,no,cellular,dec,1,188,other,married,tertiary,no,9,787,8,0
5235,53,unemployed,587,no,no,cellular,nov,1,-1,other,divorced,secondary,no,19,561,0,1
4746,36,admin,11174,yes,no,cellular,apr,1,-1,other,single,secondary,no,15,953,0,1
5426,51,entrepreneur,538,no,no,cellular,nov,4,-1,other,married,primary,no,18,1122,0,1
3681,26,blue-collar,8,yes,no,cellular,may,1,-1,other,single,secondary,no,13,167,0,0
5535,28,unemployed,61,yes,no,cellular,jul,8,-1,other,single,tertiary,no,16,401,0,0
1186,35,unemployed,1,yes,no,cellular,jul,8,-1,other,married,secondary,no,28,173,0,0
2547,50,self-employed,5312,no,no,cellular,jul,3,-1,other,married,secondary,no,23,106,0,0
3243,33,technician,264,no,no,cellular,aug,4,-1,other,married,secondary,no,28,180,0,0
5893,33,self-employed,61,no,no,cellular,aug,3,-1,other,single,tertiary,no,19,836,0,1
4349,73,management,1609,no,no,cellular,jul,2,-1,other,married,tertiary,no,14,169,0,1
4067,27,technician,0,no,no,cellular,feb,1,-1,other,single,secondary,no,6,161,0,0
4017,30,management,3340,no,no,cellular,jun,3,-1,other,single,tertiary,no,3,238,0,1
3198,35,management,26,no,no,cellular,apr,2,-1,other,divorced,tertiary,no,16,78,0,1
1488,52,technician,2557,no,no,cellular,jul,1,156,other,married,tertiary,no,8,340,1,1
6268,26,services,1140,yes,no,cellular,feb,2,-1,other,single,tertiary,no,6,984,0,1
1663,54,admin,0,no,no,cellular,jan,1,98,failure,married,secondary,no,28,161,2,1
3187,34,technician,23076,no,no,cellular,may,2,35,other,married,tertiary,no,26,243,6,1
6382,37,management,1730,no,no,cellular,mar,1,-1,other,single,tertiary,no,19,167,0,1
1756,52,admin,813,no,yes,cellular,aug,2,-1,other,married,primary,no,5,113,0,0
5387,35,management,-196,yes,no,cellular,jul,2,-1,other,married,tertiary,no,22,216,0,0
6979,33,technician,303,yes,no,cellular,feb,1,301,success,married,secondary,no,3,355,5,1
6574,35,blue-collar,149,yes,no,cellular,apr,3,349,other,married,secondary,no,29,507,1,1
7504,36,management,9,no,no,cellular,aug,4,-1,other,married,tertiary,no,11,386,0,1
4378,27,management,151,yes,no,cellular,jul,1,-1,other,single,tertiary,no,16,496,0,1
1192,26,services,12,no,no,cellular,jun,1,181,failure,single,tertiary,no,14,563,10,1
2581,32,management,0,no,no,unknown,may,1,-1,other,married,tertiary,no,9,280,0,0
4624,36,unemployed,129,no,no,cellular,jan,1,93,success,single,tertiary,no,28,918,1,1
2833,37,management,3141,no,no,cellular,may,2,-1,other,single,tertiary,no,4,384,0,1
7240,31,management,1308,no,no,cellular,aug,3,-1,other,single,tertiary,no,22,323,0,0
2314,70,unemployed,2384,no,no,cellular,oct,2,-1,other,married,secondary,no,30,196,0,1
6993,71,technician,383,no,no,cellular,apr,3,-1,other,married,tertiary,no,27,388,0,1
6628,36,unemployed,5,yes,no,cellular,jul,1,-1,other,divorced,secondary,no,8,305,0,0
2866,26,unemployed,39,no,no,cellular,may,3,-1,other,single,tertiary,no,26,396,0,1
6799,39,blue-collar,275,yes,no,unknown,jun,2,-1,other,married,primary,no,16,189,0,0
1486,57,technician,470,no,no,cellular,aug,3,-1,other,divorced,secondary,no,5,480,0,1
5048,55,management,1498,no,no,cellular,aug,5,-1,other,single,tertiary,no,25,340,0,0
3247,32,management,0,yes,yes,cellular,nov,2,-1,other,single,tertiary,no,17,107,0,0
6635,35,admin,304,no,no,cellular,mar,1,-1,other,married,secondary,no,18,237,0,1
6884,49,services,202,yes,no,cellular,nov,2,104,failure,married,secondary,no,17,651,1,1
3309,56,admin,602,no,no,cellular,jun,1,130,success,married,secondary,no,14,458,8,1
3744,78,unemployed,631,no,no,telephone,aug,1,-1,other,divorced,secondary,no,11,95,0,0
4740,30,entrepreneur,-346,yes,yes,cellular,jul,1,-1,other,married,secondary,no,22,88,0,0
2464,43,self-employed,66,yes,no,unknown,may,5,-1,other,married,primary,no,7,175,0,0
4473,29,admin,382,yes,no,unknown,may,1,-1,other,single,secondary,no,12,460,0,0
6157,34,blue-collar,2994,yes,no,cellular,may,1,176,failure,married,secondary,no,15,358,1,0
2748,38,management,1199,no,no,cellular,aug,1,-1,other,married,tertiary,no,3,482,0,1
5012,31,management,84,no,yes,unknown,jul,1,-1,other,married,tertiary,no,1,143,0,0
7340,35,technician,0,yes,no,telephone,aug,2,-1,other,single,tertiary,no,28,46,0,0
2829,69,unemployed,2473,no,no,cellular,jul,3,-1,other,married,secondary,no,8,967,0,1
202,36,technician,341,no,no,cellular,feb,2,183,success,married,tertiary,no,12,419,1,1
6347,28,technician,676,no,no,cellular,feb,2,-1,other,single,tertiary,no,5,1138,0,1
2582,41,services,2399,yes,no,cellular,may,2,351,failure,married,secondary,no,15,303,2,0
1148,60,management,544,no,no,cellular,jun,7,357,failure,married,secondary,no,12,95,2,1
3923,34,technician,2047,yes,no,cellular,jul,5,-1,other,single,tertiary,no,28,57,0,0
460,26,admin,313,no,yes,cellular,jun,1,96,success,single,tertiary,no,2,199,2,1
7311,33,management,1195,yes,no,telephone,may,4,-1,other,married,tertiary,no,13,355,0,0
3342,34,management,682,no,no,cellular,aug,3,-1,other,single,tertiary,no,27,472,0,0
6273,35,services,618,no,no,cellular,aug,1,104,success,married,unknown,no,12,293,1,1
1872,57,management,9103,no,yes,unknown,jun,2,-1,other,married,tertiary,no,20,1098,0,1
293,50,blue-collar,2590,yes,no,unknown,may,6,-1,other,married,primary,no,9,257,0,0
3988,59,admin,-423,yes,yes,cellular,apr,1,-1,other,single,secondary,no,20,84,0,0
6966,34,admin,920,no,no,cellular,may,3,179,success,married,secondary,no,14,526,3,1
475,58,management,50,yes,no,unknown,jun,4,-1,other,divorced,tertiary,no,3,109,0,0
3458,48,blue-collar,0,no,no,unknown,jun,2,-1,other,divorced,primary,no,6,248,0,0
5223,32,admin,8749,yes,yes,unknown,oct,1,-1,other,married,secondary,no,21,294,0,1
2408,40,self-employed,-94,yes,no,cellular,jul,1,-1,other,single,tertiary,no,16,90,0,0
412,28,unemployed,236,no,no,cellular,may,1,87,failure,single,primary,no,4,193,3,1
6303,52,blue-collar,4660,no,no,cellular,aug,3,-1,other,married,primary,no,18,82,0,0
1298,76,unemployed,4112,no,no,telephone,oct,2,-1,other,married,secondary,no,23,282,0,1
2665,26,management,1177,no,no,cellular,oct,1,-1,other,single,tertiary,no,19,116,0,0
3667,25,admin,120,yes,no,unknown,jun,1,-1,other,single,secondary,no,3,542,0,0
2923,30,management,1384,yes,no,telephone,aug,2,-1,other,married,tertiary,no,14,60,0,0
7414,32,services,1659,yes,no,unknown,may,6,-1,other,single,secondary,no,30,120,0,0
4169,56,technician,3499,yes,no,unknown,may,3,-1,other,single,secondary,no,29,248,0,0
3176,32,management,1134,no,no,cellular,aug,4,-1,other,single,tertiary,no,28,85,0,0
351,24,blue-collar,-203,yes,no,unknown,jun,3,-1,other,single,secondary,yes,12,465,0,1
4961,38,blue-collar,178,yes,no,unknown,may,1,-1,other,married,primary,no,20,245,0,0
4021,37,unemployed,1236,no,no,cellular,jul,2,-1,other,married,tertiary,no,29,300,0,0
5514,54,technician,4582,yes,no,unknown,may,1,-1,other,married,tertiary,no,15,165,0,0
2112,28,technician,922,yes,no,cellular,apr,1,-1,other,single,secondary,no,7,304,0,0
5848,31,technician,205,yes,no,unknown,jun,2,-1,other,single,secondary,no,3,342,0,0
327,37,blue-collar,13849,yes,no,unknown,may,5,-1,other,married,secondary,no,23,252,0,0
2099,42,blue-collar,490,yes,no,unknown,may,2,-1,other,married,secondary,no,5,386,0,0
1050,42,services,314,no,no,unknown,jun,2,-1,other,divorced,secondary,no,9,249,0,0
6545,50,services,3169,no,no,cellular,aug,1,430,failure,married,secondary,no,13,399,1,1
7117,31,blue-collar,604,yes,no,cellular,nov,2,-1,other,married,secondary,no,18,394,0,0
65,31,services,-327,yes,no,unknown,may,1,-1,other,married,secondary,no,28,408,0,0
5098,49,entrepreneur,159,yes,no,unknown,may,3,-1,other,divorced,secondary,no,13,95,0,0
6169,45,management,2813,yes,no,cellular,may,1,-1,other,divorced,tertiary,no,13,43,0,0
6044,31,technician,2544,no,no,cellular,jul,1,184,success,single,secondary,no,15,252,3,1
7565,60,blue-collar,414,no,no,cellular,feb,1,-1,other,married,secondary,no,4,147,0,0
346,49,services,1314,no,no,cellular,aug,14,-1,other,married,secondary,no,14,834,0,1
1921,34,management,0,no,no,cellular,feb,3,9,other,married,tertiary,no,6,787,1,1
7551,55,unemployed,101,yes,no,cellular,jul,1,-1,other,married,tertiary,no,9,111,0,0
3083,37,management,-491,yes,no,cellular,feb,2,-1,other,married,tertiary,no,5,80,0,0
5354,38,technician,145,yes,no,unknown,may,2,-1,other,single,secondary,no,27,109,0,0
7646,32,technician,484,yes,no,cellular,feb,6,187,success,married,secondary,no,15,83,3,1
4605,27,unemployed,0,no,no,cellular,mar,3,-1,other,single,tertiary,no,5,82,0,1
2633,34,management,16,yes,no,telephone,sep,1,119,other,married,tertiary,no,29,316,1,1
336,40,services,694,yes,no,cellular,jul,14,-1,other,divorced,secondary,no,31,75,0,0
5147,35,blue-collar,306,no,no,unknown,jun,8,-1,other,married,secondary,no,20,12,0,0
3201,85,unemployed,12114,no,no,telephone,feb,2,-1,other,married,primary,no,12,165,0,1
7000,42,admin,4253,yes,no,cellular,may,1,-1,other,single,secondary,no,13,146,0,0
6926,26,blue-collar,535,no,no,cellular,aug,1,-1,other,single,secondary,no,14,125,0,1
3538,51,management,656,yes,no,cellular,jul,2,-1,other,married,tertiary,no,25,268,0,0
7455,58,admin,1947,no,no,telephone,oct,1,-1,other,divorced,secondary,no,26,228,0,1
3089,63,self-employed,-39,no,no,cellular,apr,2,-1,other,married,tertiary,no,1,387,0,1
185,43,unemployed,860,no,no,telephone,oct,1,-1,other,married,secondary,no,30,132,0,1
5356,55,services,283,yes,no,unknown,may,1,-1,other,married,secondary,no,19,156,0,0
7181,41,blue-collar,3851,no,no,cellular,nov,1,-1,other,single,secondary,no,19,130,0,0
5723,50,technician,3654,no,no,cellular,oct,2,78,other,married,secondary,no,29,215,2,1
2263,53,management,380,no,yes,cellular,jun,2,-1,other,divorced,tertiary,no,5,438,0,1
3443,40,management,0,no,no,cellular,aug,2,98,success,married,tertiary,no,6,131,6,1
5803,35,unemployed,295,no,no,unknown,mar,1,-1,other,single,secondary,no,17,473,0,1
6629,30,management,1235,yes,no,cellular,jul,3,-1,other,married,tertiary,no,28,104,0,0
5446,24,management,1,no,no,cellular,may,5,-1,other,single,tertiary,no,14,396,0,1
1584,35,management,243,yes,no,unknown,may,3,-1,other,single,tertiary,no,12,102,0,0
1698,36,services,528,no,no,cellular,feb,2,-1,other,single,secondary,no,3,225,0,0
7716,77,unemployed,4659,no,no,cellular,apr,1,-1,other,divorced,tertiary,no,14,161,0,1
6074,31,unemployed,3511,no,no,cellular,oct,1,96,success,single,secondary,no,6,311,1,1
4768,48,management,0,no,yes,cellular,feb,4,182,success,married,tertiary,no,19,204,1,1
4407,38,management,676,no,no,cellular,may,3,-1,other,married,tertiary,no,15,59,0,0
581,35,unemployed,415,no,no,cellular,aug,1,92,success,single,tertiary,no,4,462,4,1
6581,40,management,16,no,yes,cellular,feb,4,-1,other,married,tertiary,no,9,47,0,0
3806,34,admin,1467,yes,no,cellular,apr,1,332,failure,married,secondary,no,17,113,2,0
3224,32,technician,390,yes,no,unknown,may,1,-1,other,single,tertiary,no,23,85,0,0
5039,37,services,6089,yes,no,cellular,may,2,-1,other,married,secondary,no,14,616,0,1
7278,30,technician,656,no,yes,unknown,jul,1,-1,other,single,secondary,no,4,523,0,0
2915,31,unemployed,-825,yes,no,unknown,may,2,-1,other,married,secondary,no,7,179,0,0
4200,48,blue-collar,1513,no,yes,cellular,jul,1,-1,other,married,secondary,no,17,1171,0,0
6716,39,unemployed,2245,no,no,cellular,nov,2,-1,other,married,secondary,no,21,749,0,1
3684,56,blue-collar,249,yes,no,unknown,may,2,-1,other,married,secondary,no,29,791,0,1
6642,39,services,323,no,no,cellular,jun,2,188,failure,married,secondary,no,9,874,6,1
115,44,management,4119,yes,yes,telephone,nov,1,-1,other,married,tertiary,no,21,1074,0,1
5816,33,blue-collar,-81,yes,no,cellular,jan,2,-1,other,married,secondary,no,29,339,0,0
3156,26,admin,1099,no,no,cellular,jan,2,225,other,single,secondary,no,15,99,13,0
6476,39,technician,94,no,no,cellular,aug,2,-1,other,married,tertiary,no,7,70,0,0
4706,29,technician,2326,no,no,cellular,mar,1,-1,other,married,secondary,no,6,195,0,1
828,36,technician,4596,yes,no,cellular,oct,2,175,success,married,tertiary,no,8,234,2,1
7287,60,management,1034,yes,no,cellular,aug,3,-1,other,single,tertiary,no,7,231,0,1
2564,42,management,27696,no,no,cellular,aug,1,91,success,married,tertiary,no,11,370,7,1
6395,54,management,-1415,yes,yes,cellular,nov,1,-1,other,married,tertiary,no,17,135,0,0
6294,31,admin,131,yes,no,cellular,jun,1,-1,other,single,secondary,no,15,151,0,1
4864,41,blue-collar,865,no,yes,unknown,may,5,-1,other,married,primary,no,19,19,0,0
4326,37,blue-collar,292,no,no,unknown,sep,1,-1,other,single,secondary,no,8,9,0,0
723,41,admin,1020,yes,no,unknown,may,1,-1,other,single,secondary,no,19,882,0,1
4084,27,technician,276,no,no,unknown,may,2,-1,other,married,tertiary,no,16,218,0,0
3029,28,blue-collar,-197,yes,no,unknown,may,2,-1,other,single,secondary,no,9,2016,0,1
3407,35,technician,2201,no,no,telephone,apr,1,-1,other,married,secondary,no,12,350,0,1
370,35,technician,5724,yes,no,unknown,may,10,-1,other,divorced,secondary,no,30,691,0,1
7159,39,blue-collar,2467,no,no,cellular,jul,2,276,other,married,secondary,no,19,207,3,1
7310,60,unemployed,18967,yes,no,cellular,jan,2,-1,other,married,secondary,no,29,177,0,1
493,26,management,6840,yes,no,unknown,may,2,-1,other,single,tertiary,no,28,1560,0,1
4329,59,management,2764,no,no,cellular,feb,1,56,failure,married,tertiary,no,18,459,3,0
6569,59,entrepreneur,0,no,no,unknown,jun,1,-1,other,married,primary,no,19,239,0,0
6497,47,services,367,yes,no,cellular,may,1,306,success,married,secondary,no,12,309,4,1
5770,45,admin,0,no,no,cellular,aug,2,-1,other,married,secondary,no,14,113,0,0
4137,59,management,396,yes,no,unknown,jun,3,-1,other,married,primary,no,2,72,0,0
1572,37,management,332,yes,no,cellular,aug,2,84,failure,married,tertiary,no,14,190,7,0
3153,35,management,916,yes,no,cellular,may,2,-1,other,single,tertiary,no,14,460,0,1
7071,57,services,0,no,no,cellular,aug,1,-1,other,single,secondary,no,6,355,0,1
297,43,management,107,yes,yes,telephone,oct,1,-1,other,married,secondary,no,28,135,0,1
7055,30,unemployed,330,no,no,cellular,jul,1,80,success,married,tertiary,no,3,264,1,1
6602,53,management,583,no,no,cellular,nov,1,184,success,married,tertiary,no,17,226,4,1
2340,45,admin,67,no,no,cellular,feb,2,-1,other,married,secondary,no,5,326,0,0
1076,31,admin,-218,yes,no,unknown,jun,15,-1,other,single,tertiary,no,2,227,0,0
3145,45,blue-collar,603,no,no,cellular,may,1,-1,other,married,secondary,no,22,204,0,0
3446,35,management,0,no,no,cellular,aug,2,-1,other,single,tertiary,no,29,131,0,0
3379,37,management,72,yes,yes,cellular,apr,5,150,failure,single,tertiary,no,20,885,7,1
7802,36,unemployed,179,no,no,cellular,aug,8,-1,other,married,secondary,no,8,14,0,0
4423,41,blue-collar,943,yes,no,unknown,may,3,-1,other,married,primary,no,29,242,0,0
5692,40,services,160,no,no,cellular,jul,3,-1,other,divorced,secondary,no,14,123,0,0
6519,33,entrepreneur,114,no,yes,cellular,jul,3,-1,other,married,tertiary,no,28,57,0,0
849,39,management,517,yes,yes,unknown,may,1,-1,other,divorced,tertiary,no,14,1328,0,1
7166,52,unemployed,2251,yes,no,unknown,jun,9,-1,other,married,secondary,no,3,58,0,0
3666,38,technician,185,no,yes,cellular,aug,16,-1,other,married,secondary,no,29,44,0,0
3040,77,management,1780,yes,no,cellular,apr,2,182,success,married,unknown,no,23,361,5,1
4737,31,technician,846,no,no,cellular,may,3,205,failure,single,secondary,no,26,405,2,1
2160,52,self-employed,217,no,yes,cellular,jul,6,-1,other,single,primary,no,15,193,0,0
2089,39,services,2990,no,no,telephone,apr,4,-1,other,married,tertiary,no,30,127,0,0
3286,40,management,8486,no,no,unknown,may,3,-1,other,married,secondary,no,6,260,0,0
6422,47,unemployed,0,no,no,unknown,jun,1,-1,other,married,primary,no,18,308,0,0
6410,44,blue-collar,1529,yes,no,cellular,apr,1,-1,other,married,unknown,no,30,347,0,1
4433,30,entrepreneur,2551,yes,no,unknown,jun,2,-1,other,married,secondary,no,5,142,0,0
6801,45,technician,999,yes,no,unknown,may,2,-1,other,married,secondary,no,16,656,0,0
