,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
919,57,admin,169,no,no,cellular,feb,1,-1,other,1
7215,36,blue-collar,218,yes,no,cellular,may,6,-1,other,1
3457,29,management,2417,yes,no,cellular,may,2,-1,other,0
2167,25,blue-collar,389,no,no,cellular,jun,1,-1,other,1
6444,31,technician,137,no,no,cellular,aug,14,-1,other,0
347,36,admin,110,yes,no,telephone,feb,1,-1,other,0
1174,43,management,1046,no,no,unknown,jun,1,-1,other,1
7308,42,management,687,no,no,cellular,aug,2,-1,other,0
472,39,blue-collar,5222,yes,no,cellular,nov,2,177,failure,0
389,59,unemployed,5583,yes,no,cellular,apr,1,-1,other,1
6230,22,unemployed,2488,no,no,cellular,nov,2,38,other,1
6599,47,technician,4568,no,no,unknown,jun,1,-1,other,0
3948,58,unemployed,18,no,no,cellular,jul,1,-1,other,0
4538,45,admin,205,no,no,cellular,feb,1,92,success,1
3643,60,unemployed,4,yes,no,cellular,dec,1,190,failure,1
173,52,technician,475,yes,no,cellular,jul,3,-1,other,0
7460,56,blue-collar,-9,yes,yes,cellular,may,1,-1,other,1
4792,26,services,179,yes,yes,cellular,jul,4,-1,other,0
827,32,services,2378,no,no,cellular,nov,2,-1,other,1
4693,32,admin,56,yes,no,cellular,feb,1,258,other,0
6528,38,services,968,yes,no,cellular,apr,1,-1,other,0
3981,41,management,1982,no,no,cellular,nov,1,-1,other,1
1331,34,blue-collar,320,yes,no,cellular,nov,1,92,success,1
782,42,management,7560,no,no,cellular,jan,1,-1,other,1
503,44,services,618,no,no,cellular,may,1,-1,other,1
3908,39,technician,2266,no,no,cellular,feb,4,-1,other,1
6375,32,technician,705,yes,no,cellular,may,2,35,failure,1
7666,75,unemployed,1413,no,no,cellular,sep,2,188,success,1
416,26,management,-8,no,no,cellular,aug,2,-1,other,0
3309,56,admin,602,no,no,cellular,jun,1,130,success,1
2338,57,blue-collar,807,yes,no,unknown,may,2,-1,other,0
3421,33,unemployed,438,yes,yes,unknown,may,1,-1,other,0
5566,26,admin,2532,yes,yes,cellular,feb,1,-1,other,1
7113,32,management,26,no,no,cellular,aug,6,-1,other,0
2245,50,admin,133,no,no,cellular,jul,4,-1,other,1
5006,50,services,1501,no,no,cellular,aug,4,-1,other,1
5787,59,technician,7766,yes,no,cellular,feb,1,461,failure,1
2986,63,technician,896,yes,no,cellular,aug,2,-1,other,1
3097,24,blue-collar,167,no,yes,cellular,feb,2,-1,other,1
25,29,blue-collar,15,no,no,cellular,jun,1,-1,other,0
6234,36,services,281,yes,no,unknown,may,1,-1,other,1
2503,43,technician,-1701,yes,no,unknown,may,1,-1,other,0
3208,48,management,1600,no,no,cellular,nov,1,-1,other,0
507,33,management,968,no,yes,cellular,aug,10,-1,other,0
1110,38,technician,25,yes,no,cellular,jun,2,-1,other,1
3216,40,management,552,no,no,cellular,jul,8,-1,other,0
7130,47,unemployed,0,no,no,cellular,nov,2,-1,other,0
5151,39,blue-collar,70,no,no,unknown,may,1,-1,other,1
4299,44,blue-collar,2657,yes,no,unknown,jun,2,-1,other,0
6405,45,management,51,yes,no,cellular,jul,8,-1,other,0
1580,58,unemployed,13,no,no,cellular,aug,4,-1,other,0
3079,39,management,1241,yes,no,cellular,jun,2,-1,other,0
2858,40,blue-collar,34,yes,no,cellular,may,2,344,failure,0
5833,38,blue-collar,1627,no,no,unknown,jun,9,-1,other,1
1273,42,unemployed,-165,yes,yes,unknown,may,3,-1,other,0
1489,37,admin,9,yes,no,cellular,may,1,-1,other,0
5912,62,blue-collar,180,no,no,cellular,jan,1,90,other,1
97,36,management,93,no,no,cellular,jul,2,182,failure,1
6337,33,management,6807,no,no,cellular,oct,2,184,success,1
258,30,entrepreneur,12737,no,yes,cellular,nov,2,-1,other,1
3016,26,services,1114,no,no,cellular,feb,2,-1,other,0
2487,50,management,810,no,no,cellular,sep,1,103,success,1
5629,47,services,3644,no,no,unknown,jun,2,-1,other,0
5314,36,technician,432,yes,no,cellular,may,3,255,failure,0
1870,46,management,4,no,no,cellular,aug,4,-1,other,1
4403,55,admin,8304,no,no,cellular,jun,1,-1,other,1
6212,51,management,-321,no,no,cellular,feb,2,9,other,0
7677,34,management,101,no,no,cellular,aug,2,-1,other,0
5897,34,management,0,no,no,cellular,aug,2,-1,other,0
5544,34,management,676,no,no,telephone,nov,1,-1,other,1
1268,46,technician,68,yes,yes,unknown,jun,3,-1,other,0
402,33,blue-collar,863,yes,no,telephone,may,3,-1,other,1
5089,31,technician,1109,no,no,cellular,feb,1,167,failure,1
2578,37,management,1276,no,no,cellular,aug,2,-1,other,1
5363,22,admin,-1,yes,no,unknown,may,1,-1,other,0
1327,38,entrepreneur,0,no,no,cellular,jul,2,-1,other,1
2393,46,management,0,no,no,unknown,jun,1,-1,other,0
6768,51,technician,564,no,yes,cellular,jul,2,-1,other,0
6949,33,management,4176,no,no,cellular,mar,3,-1,other,1
235,35,management,2161,no,no,cellular,sep,3,-1,other,1
1892,30,admin,1310,no,no,telephone,oct,1,-1,other,0
5224,53,services,49,no,no,unknown,may,1,-1,other,0
7152,34,management,362,yes,no,unknown,may,3,-1,other,0
4489,52,technician,876,no,no,cellular,may,3,-1,other,1
6163,31,technician,15,no,no,unknown,jun,1,-1,other,0
5919,27,technician,1977,yes,no,cellular,may,1,-1,other,1
6572,42,admin,527,no,yes,cellular,oct,1,185,success,1
6665,46,technician,332,yes,no,unknown,may,1,-1,other,1
5837,35,blue-collar,-276,yes,no,cellular,may,1,-1,other,1
2025,58,self-employed,1636,no,no,cellular,apr,1,-1,other,0
7211,47,blue-collar,1568,yes,no,cellular,may,3,91,success,1
3180,39,blue-collar,3,no,yes,unknown,jul,1,-1,other,0
3645,35,blue-collar,0,yes,no,cellular,jul,1,-1,other,0
3109,30,admin,873,yes,no,unknown,may,3,-1,other,1
3858,38,unemployed,7005,yes,no,cellular,jan,1,202,success,1
6585,28,management,939,yes,no,unknown,may,1,-1,other,1
2348,59,blue-collar,-546,no,no,cellular,aug,6,-1,other,1
1471,53,technician,988,no,no,cellular,aug,5,-1,other,1
5425,39,management,1363,no,no,cellular,aug,3,-1,other,0
2820,80,unemployed,997,no,no,cellular,jan,1,91,success,1
5790,48,technician,-205,yes,yes,cellular,jul,1,-1,other,0
3111,35,technician,22,no,no,cellular,aug,1,-1,other,0
923,41,blue-collar,201,yes,no,cellular,feb,1,-1,other,1
169,51,management,119,no,no,cellular,nov,1,165,failure,0
646,42,blue-collar,-97,yes,no,cellular,feb,4,271,failure,0
5302,42,blue-collar,429,yes,no,cellular,may,1,370,failure,0
7704,40,management,-63,no,yes,cellular,jul,1,-1,other,0
1112,55,management,384,no,no,telephone,feb,1,-1,other,0
3013,31,management,792,no,no,cellular,aug,14,-1,other,1
5489,35,services,-504,no,no,cellular,jul,1,-1,other,0
7790,34,unemployed,978,no,no,cellular,jun,2,71,success,1
2326,34,admin,1406,yes,no,cellular,aug,2,85,success,1
3130,33,technician,8097,no,yes,cellular,aug,2,-1,other,0
4405,32,blue-collar,760,yes,no,cellular,apr,1,148,other,0
5965,56,management,1390,yes,no,cellular,nov,1,-1,other,1
7029,35,blue-collar,159,yes,yes,cellular,may,1,-1,other,1
1508,43,management,0,yes,no,cellular,jul,1,-1,other,0
1422,31,technician,106,yes,no,unknown,may,13,-1,other,0
2182,37,management,238,no,no,cellular,nov,1,-1,other,1
309,35,admin,0,yes,no,cellular,may,1,-1,other,1
426,53,management,1624,no,no,cellular,aug,1,98,success,1
1432,40,unemployed,7968,no,no,cellular,sep,1,93,success,1
6301,45,blue-collar,116,no,no,unknown,apr,1,-1,other,1
349,31,admin,622,no,no,cellular,jul,1,-1,other,1
5525,50,technician,-54,yes,yes,cellular,may,2,292,failure,1
7436,29,blue-collar,296,yes,no,unknown,jun,1,-1,other,0
4358,37,technician,5115,yes,no,cellular,nov,2,171,failure,1
5527,36,admin,96,no,no,cellular,feb,1,-1,other,1
6790,48,technician,0,no,no,unknown,may,1,-1,other,1
4452,37,management,62,yes,no,cellular,aug,2,272,success,1
3201,85,unemployed,12114,no,no,telephone,feb,2,-1,other,1
5512,54,technician,3323,yes,yes,cellular,apr,3,-1,other,0
7541,38,entrepreneur,7752,yes,no,cellular,jul,4,-1,other,0
1200,76,unemployed,2991,no,no,cellular,oct,1,183,success,1
5334,41,admin,-306,yes,no,unknown,may,1,-1,other,1
4009,40,management,27,no,no,cellular,aug,6,-1,other,0
4590,36,blue-collar,2176,yes,no,unknown,may,2,-1,other,0
6320,56,management,310,no,no,unknown,jun,4,-1,other,0
1235,31,technician,-302,no,no,cellular,aug,2,-1,other,0
2226,39,services,0,yes,no,cellular,may,1,-1,other,0
4527,38,services,0,yes,no,cellular,nov,2,-1,other,0
2179,62,services,1528,no,no,cellular,apr,1,-1,other,1
2899,30,admin,186,yes,no,cellular,may,1,-1,other,0
6854,40,admin,0,yes,no,cellular,feb,1,201,failure,0
5416,31,technician,208,no,no,cellular,aug,7,-1,other,1
4448,35,blue-collar,106,yes,no,cellular,apr,5,-1,other,0
6177,44,technician,982,yes,no,unknown,may,3,-1,other,1
6496,37,admin,192,yes,no,unknown,may,2,-1,other,0
1735,66,services,40,no,no,telephone,oct,2,-1,other,1
7787,41,technician,102,yes,yes,unknown,may,9,-1,other,0
683,43,unemployed,7298,no,no,unknown,jun,2,-1,other,0
338,39,services,7066,yes,no,cellular,may,3,357,other,1
