,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,Anomaly,Anomaly_Score,deposit
6301,45,blue-collar,116,no,no,unknown,apr,1,-1,unknown,single,primary,no,13,122,0,0,-0.03591597,1
6726,75,retired,1765,no,no,telephone,sep,1,187,failure,married,primary,no,14,808,4,1,0.028377729,1
6755,25,admin,131,yes,yes,unknown,may,1,-1,unknown,single,secondary,no,9,237,0,0,-0.051725313,0
7474,29,technician,328,yes,yes,cellular,feb,1,-1,unknown,divorced,secondary,no,4,25,0,0,-0.007089207,0
3064,31,blue-collar,435,yes,no,unknown,may,1,-1,unknown,married,secondary,no,21,204,0,0,-0.10452201,0
3025,33,technician,480,yes,no,cellular,jan,1,270,other,married,secondary,no,30,272,1,0,-0.02397306,0
2583,41,admin,1395,yes,yes,cellular,may,1,308,failure,married,secondary,no,11,85,2,0,-0.024379287,0
563,58,housemaid,497,no,no,unknown,jun,5,-1,unknown,married,tertiary,no,11,138,0,0,-0.06568338,0
4073,41,technician,0,no,no,cellular,aug,2,-1,unknown,married,secondary,no,29,141,0,0,-0.10372313,0
6488,67,unknown,7687,no,no,telephone,oct,3,-1,unknown,married,tertiary,no,30,70,0,0,-0.00111413,0
6003,47,technician,335,no,no,cellular,feb,1,-1,unknown,married,secondary,no,17,226,0,0,-0.09638477,1
2646,46,admin,306,yes,no,cellular,may,5,-1,unknown,single,unknown,no,11,289,0,0,-0.07708783,0
6446,49,blue-collar,23,yes,no,unknown,may,1,-1,unknown,married,primary,no,23,247,0,0,-0.08836368,0
2691,40,blue-collar,1844,yes,no,cellular,may,1,-1,unknown,married,secondary,no,11,231,0,0,-0.11487466,0
2135,50,housemaid,388,no,no,cellular,mar,2,-1,unknown,married,secondary,no,11,203,0,0,-0.059340876,1
1768,50,management,5969,no,no,cellular,jan,1,544,failure,married,tertiary,no,25,455,2,0,-0.037391964,1
6569,59,entrepreneur,0,no,no,unknown,jun,1,-1,unknown,married,primary,no,19,239,0,0,-0.030733941,0
1724,38,self-employed,1612,yes,no,cellular,may,1,-1,unknown,single,tertiary,no,8,423,0,0,-0.08397639,1
5084,45,admin,375,no,yes,unknown,sep,1,594,failure,single,secondary,no,22,10,6,1,0.07319556,0
814,23,management,1506,no,no,cellular,mar,4,-1,unknown,single,tertiary,no,9,131,0,0,-0.07575332,1
1353,41,entrepreneur,-413,yes,no,unknown,may,2,-1,unknown,divorced,tertiary,no,8,170,0,0,-0.017009735,0
1361,57,technician,1753,yes,no,cellular,may,1,-1,unknown,married,secondary,no,7,539,0,0,-0.10531993,0
1371,38,technician,10596,no,no,cellular,aug,1,197,other,married,secondary,no,19,195,4,0,-0.022990152,1
6805,26,blue-collar,246,yes,no,unknown,may,3,-1,unknown,married,secondary,no,16,1143,0,0,-0.0846251,1
4377,42,blue-collar,413,yes,no,cellular,aug,2,-1,unknown,married,secondary,no,11,589,0,0,-0.10299655,1
5844,57,technician,295,no,no,cellular,aug,11,-1,unknown,married,secondary,no,19,151,0,0,-0.09971904,0
5053,42,technician,757,no,no,cellular,feb,1,-1,unknown,married,tertiary,no,10,154,0,0,-0.08414054,1
3004,37,technician,28,no,no,cellular,aug,2,-1,unknown,married,secondary,no,21,101,0,0,-0.10935834,0
3857,48,blue-collar,863,yes,no,telephone,may,5,350,success,married,secondary,no,4,412,2,0,-0.022287574,1
3648,57,management,256,no,no,cellular,jun,2,91,success,married,tertiary,no,5,304,1,0,-0.07639654,1
1919,60,admin,4629,yes,no,cellular,oct,1,-1,unknown,married,unknown,no,27,624,0,0,-0.04532312,1
2727,43,blue-collar,2160,no,no,cellular,jun,1,-1,unknown,married,secondary,no,2,169,0,0,-0.10232803,1
86,60,retired,2060,no,no,cellular,jun,4,95,failure,married,secondary,no,29,135,4,0,-0.03701188,0
2326,34,admin,1406,yes,no,cellular,aug,2,85,success,married,secondary,no,20,63,1,0,-0.066145256,1
5147,35,blue-collar,306,no,no,unknown,jun,8,-1,unknown,married,secondary,no,20,12,0,0,-0.07147066,0
2778,62,blue-collar,272,no,no,cellular,nov,1,92,success,married,secondary,no,11,289,3,0,-0.071168646,1
5695,33,management,935,no,no,cellular,feb,2,92,success,single,tertiary,no,9,385,8,0,-0.04024474,1
6194,25,blue-collar,1857,yes,no,cellular,jul,2,91,success,single,secondary,no,13,195,10,0,-0.03064149,1
4055,29,unemployed,25,no,no,cellular,apr,2,-1,unknown,single,secondary,no,14,207,0,0,-0.072846726,1
2827,40,unemployed,1908,yes,no,cellular,feb,2,-1,unknown,married,primary,no,5,1661,0,0,-0.05481831,1
6410,44,blue-collar,1529,yes,no,cellular,apr,1,-1,unknown,married,unknown,no,30,347,0,0,-0.060871534,1
4402,31,management,3160,yes,no,cellular,apr,2,-1,unknown,married,tertiary,no,26,688,0,0,-0.08202373,1
2149,30,technician,86,no,no,unknown,aug,1,-1,unknown,single,secondary,no,20,45,0,0,-0.06984754,0
3311,32,technician,129,yes,no,cellular,may,1,-1,unknown,single,secondary,no,7,213,0,0,-0.10663496,0
414,40,blue-collar,668,yes,no,cellular,apr,2,318,other,married,secondary,no,17,156,1,0,-0.040740322,0
6206,57,unemployed,890,no,no,cellular,feb,4,-1,unknown,married,secondary,no,5,343,0,0,-0.070826836,0
777,38,technician,1711,no,no,cellular,apr,3,202,success,single,secondary,no,20,379,1,0,-0.039747957,1
610,41,admin,4464,yes,no,telephone,jul,2,-1,unknown,single,secondary,no,21,1425,0,0,-0.023733005,0
6219,58,blue-collar,1457,yes,no,cellular,jul,4,-1,unknown,married,secondary,no,8,144,0,0,-0.10200774,0
5988,28,admin,261,yes,yes,cellular,sep,2,98,success,single,secondary,no,9,259,4,0,-3.250654e-06,1
1793,27,management,6791,no,no,cellular,aug,2,69,other,single,tertiary,no,5,179,26,0,-0.0035867668,1
7294,36,self-employed,506,no,no,cellular,nov,1,70,failure,married,tertiary,no,3,217,2,0,-0.05526242,1
3347,46,blue-collar,7934,yes,no,unknown,may,1,-1,unknown,married,primary,no,19,123,0,0,-0.08563154,0
7562,40,services,1305,no,no,cellular,jul,1,-1,unknown,married,secondary,no,22,255,0,0,-0.09754324,0
2492,45,admin,231,yes,no,unknown,jun,3,-1,unknown,married,secondary,no,18,151,0,0,-0.07817959,0
1797,23,admin,252,yes,no,cellular,may,1,-1,unknown,single,secondary,no,15,56,0,0,-0.094595484,0
7517,46,management,244,yes,no,unknown,may,1,-1,unknown,single,secondary,no,15,244,0,0,-0.09186862,0
3922,32,entrepreneur,598,no,no,cellular,aug,6,-1,unknown,married,tertiary,no,18,135,0,0,-0.059145436,0
4574,61,retired,86,no,no,cellular,oct,1,-1,unknown,married,secondary,no,23,149,0,0,-0.07146623,1
2625,34,management,1058,yes,no,unknown,may,2,-1,unknown,single,tertiary,no,28,864,0,0,-0.06642351,1
2568,41,services,205,yes,no,unknown,may,1,-1,unknown,married,secondary,no,8,91,0,0,-0.08566861,0
3461,49,technician,350,no,no,cellular,jan,3,-1,unknown,single,unknown,no,28,91,0,0,-0.06535985,0
5975,38,technician,0,no,no,cellular,jul,1,-1,unknown,married,secondary,no,8,635,0,0,-0.10138418,1
2945,40,self-employed,1516,yes,yes,unknown,may,1,-1,unknown,married,secondary,no,23,373,0,0,-0.051155116,0
6738,40,technician,1646,yes,no,cellular,aug,1,92,success,single,tertiary,no,4,173,5,0,-0.028907552,1
621,44,management,558,no,no,cellular,feb,5,-1,unknown,married,primary,no,19,268,0,0,-0.07893938,1
5793,39,admin,2345,yes,no,cellular,may,2,344,failure,single,secondary,no,8,491,2,0,-0.04093724,1
1725,68,retired,451,no,no,cellular,mar,1,-1,unknown,married,primary,no,5,373,0,0,-0.064616755,1
358,31,admin,554,yes,no,cellular,feb,1,-1,unknown,single,secondary,no,5,94,0,0,-0.07993402,0
4645,38,admin,1767,yes,no,cellular,jul,4,239,success,married,secondary,no,9,483,7,0,-0.04791625,1
7753,58,blue-collar,96,no,no,unknown,jun,3,-1,unknown,married,primary,no,16,76,0,0,-0.07200565,0
1576,32,management,131,no,no,unknown,jun,3,-1,unknown,single,tertiary,no,3,267,0,0,-0.0705617,0
441,22,student,2162,no,no,telephone,feb,1,-1,unknown,single,secondary,no,2,168,0,0,-0.02088017,0
278,29,student,5,no,no,cellular,jul,5,-1,unknown,single,tertiary,no,15,889,0,0,-0.061032973,1
7764,21,student,2488,no,no,cellular,oct,1,-1,unknown,single,secondary,no,12,180,0,0,-0.05596688,1
5734,48,blue-collar,816,yes,no,cellular,jul,7,-1,unknown,married,primary,no,31,114,0,0,-0.0734484,0
5152,64,housemaid,2645,no,no,telephone,feb,2,-1,unknown,married,unknown,no,3,219,0,0,-0.023441745,1
129,33,admin,867,yes,no,cellular,apr,1,-1,unknown,single,tertiary,no,14,247,0,0,-0.07951753,0
2787,54,management,2819,no,no,cellular,aug,3,-1,unknown,married,tertiary,no,7,123,0,0,-0.1060669,0
4996,28,unemployed,863,yes,yes,unknown,may,1,-1,unknown,married,secondary,no,27,355,0,0,-0.054394282,0
1871,32,management,874,no,no,cellular,aug,6,-1,unknown,divorced,tertiary,no,12,1282,0,0,-0.05729142,1
7255,30,admin,396,yes,no,cellular,may,3,348,failure,married,secondary,no,13,366,2,0,-0.055624735,1
7505,26,admin,5231,no,yes,cellular,jul,2,-1,unknown,married,secondary,no,17,222,0,0,-0.06673509,0
7515,52,services,2081,yes,no,unknown,may,1,-1,unknown,married,secondary,no,29,150,0,0,-0.0750921,0
3264,56,unemployed,3391,no,no,cellular,apr,1,-1,unknown,married,primary,no,21,243,0,0,-0.06714825,1
6180,56,management,94,no,no,cellular,jul,3,-1,unknown,married,tertiary,no,23,530,0,0,-0.09625218,0
935,34,services,2956,no,no,cellular,aug,2,-1,unknown,married,secondary,no,6,835,0,0,-0.09424866,1
998,26,blue-collar,895,yes,no,cellular,feb,3,-1,unknown,married,secondary,no,4,820,0,0,-0.08603129,0
3901,44,technician,1901,no,no,cellular,aug,2,-1,unknown,married,secondary,no,6,165,0,0,-0.11008047,0
670,30,self-employed,2666,no,no,cellular,may,3,89,success,married,tertiary,no,4,781,1,0,-0.04585756,1
7710,33,admin,69,no,yes,cellular,may,2,-1,unknown,married,tertiary,no,4,77,0,0,-0.06051356,0
4998,53,management,232,yes,no,telephone,jan,1,-1,unknown,married,tertiary,no,29,32,0,0,-0.035842985,0
6522,40,management,0,yes,no,cellular,mar,2,-1,unknown,married,tertiary,no,25,506,0,0,-0.08060126,1
592,50,management,398,no,no,telephone,jul,5,-1,unknown,married,tertiary,no,30,1567,0,0,-0.028173232,0
3117,45,management,4119,yes,yes,telephone,aug,2,283,success,married,tertiary,no,31,473,1,1,0.020718843,1
6480,52,retired,2269,no,no,unknown,jun,1,-1,unknown,married,tertiary,no,20,1210,0,0,-0.060868796,1
388,39,admin,0,no,yes,unknown,jun,1,-1,unknown,single,secondary,no,19,142,0,0,-0.030977577,0
7523,29,services,146,yes,no,unknown,may,2,-1,unknown,single,secondary,no,19,104,0,0,-0.07829395,0
5701,25,admin,184,no,yes,telephone,jul,7,-1,unknown,single,secondary,no,11,437,0,0,-0.00995417,0
2359,38,self-employed,677,yes,no,cellular,may,2,-1,unknown,single,secondary,no,14,114,0,0,-0.08993073,0
5990,59,technician,2595,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,no,29,398,0,0,-0.052385464,0
3127,26,technician,401,no,no,cellular,may,2,-1,unknown,single,tertiary,no,5,188,0,0,-0.09256382,1
5024,43,management,2383,no,no,cellular,aug,6,-1,unknown,married,tertiary,no,13,379,0,0,-0.109128736,1
7245,29,services,271,yes,no,unknown,may,2,-1,unknown,single,secondary,no,20,1882,0,0,-0.059323832,1
3005,33,management,3401,no,no,cellular,nov,1,-1,unknown,married,tertiary,no,20,253,0,0,-0.09553781,1
7296,52,admin,363,yes,no,cellular,aug,1,462,success,divorced,secondary,no,21,168,1,0,-0.011105859,1
2034,35,management,0,no,no,cellular,aug,6,-1,unknown,single,tertiary,no,25,81,0,0,-0.095427446,0
3701,39,services,322,yes,no,cellular,may,1,350,failure,single,secondary,no,11,35,1,0,-0.026281243,0
3441,31,blue-collar,726,no,no,cellular,jul,2,-1,unknown,single,secondary,no,7,719,0,0,-0.09051001,1
6544,34,admin,64,yes,no,cellular,jul,2,-1,unknown,single,tertiary,no,28,76,0,0,-0.072329536,0
6418,31,management,373,no,no,cellular,feb,6,-1,unknown,divorced,tertiary,no,10,132,0,0,-0.047633003,1
5041,37,services,54,yes,no,cellular,jul,1,-1,unknown,single,secondary,no,10,118,0,0,-0.07633788,0
429,44,entrepreneur,323,no,no,cellular,jul,2,181,failure,single,unknown,no,28,332,2,0,-0.012859138,1
2416,30,admin,590,no,no,cellular,aug,3,-1,unknown,married,secondary,no,11,443,0,0,-0.09967682,0
836,38,blue-collar,-258,yes,no,cellular,may,2,370,other,divorced,primary,no,14,134,4,1,0.01955637,0
1058,42,management,0,yes,no,cellular,nov,1,-1,unknown,single,tertiary,yes,21,824,0,0,-0.045472514,1
3197,36,entrepreneur,3057,no,no,unknown,jun,4,-1,unknown,married,tertiary,no,16,2769,0,0,-0.020592177,1
3658,33,management,0,yes,no,cellular,apr,1,-1,unknown,married,tertiary,no,17,378,0,0,-0.08962253,1
1095,34,management,2633,yes,no,cellular,nov,6,-1,unknown,single,tertiary,no,21,705,0,0,-0.07099634,1
3729,30,management,3473,no,no,cellular,mar,2,-1,unknown,single,tertiary,no,12,1209,0,0,-0.071592234,1
6614,50,self-employed,0,no,no,cellular,aug,4,-1,unknown,married,primary,no,22,125,0,0,-0.072329536,0
4289,26,unemployed,3511,no,no,cellular,apr,2,-1,unknown,single,tertiary,no,30,439,0,0,-0.058402438,1
6882,47,technician,191,no,no,cellular,aug,5,-1,unknown,divorced,secondary,no,19,228,0,0,-0.06893093,0
3530,42,housemaid,4279,yes,no,cellular,jul,1,-1,unknown,married,primary,no,22,98,0,0,-0.06181239,0
5280,61,retired,1058,no,no,cellular,jul,2,91,success,married,secondary,no,27,218,3,0,-0.0527076,1
5192,53,management,527,yes,no,cellular,jul,3,-1,unknown,married,unknown,no,23,71,0,0,-0.08855245,0
4844,43,technician,0,no,no,cellular,aug,3,-1,unknown,married,secondary,no,19,313,0,0,-0.10808161,0
3890,61,retired,3738,no,no,telephone,feb,1,-1,unknown,married,primary,no,6,188,0,0,-0.035589334,0
7442,59,retired,6888,no,no,telephone,nov,2,-1,unknown,married,secondary,no,20,1025,0,0,-0.044475447,1
5476,76,retired,1492,no,no,telephone,nov,1,-1,unknown,married,primary,no,3,383,0,0,-0.034498386,1
2099,42,blue-collar,490,yes,no,unknown,may,2,-1,unknown,married,secondary,no,5,386,0,0,-0.10686855,0
7668,68,retired,0,no,no,cellular,jun,1,-1,unknown,married,secondary,no,22,586,0,0,-0.07790958,1
1272,48,services,-361,yes,no,cellular,may,3,349,other,divorced,secondary,no,12,1062,3,1,0.007766782,1
6789,27,student,111,no,no,cellular,jul,2,-1,unknown,single,secondary,no,7,495,0,0,-0.06597009,1
4829,42,technician,1812,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,31,84,0,0,-0.09418445,0
7586,31,admin,-302,yes,yes,unknown,may,5,-1,unknown,single,secondary,no,27,235,0,0,-0.040543355,0
2845,46,admin,1252,yes,yes,cellular,nov,1,-1,unknown,married,secondary,no,17,59,0,0,-0.07330207,0
4259,40,self-employed,311,yes,no,unknown,may,2,-1,unknown,married,secondary,no,20,723,0,0,-0.08290896,0
6381,46,management,1600,yes,yes,cellular,aug,1,-1,unknown,married,tertiary,no,11,1244,0,0,-0.060272593,1
6377,40,unemployed,7968,no,no,cellular,jun,1,-1,unknown,single,tertiary,no,2,596,0,0,-0.06544228,1
7746,39,technician,3494,yes,no,cellular,nov,1,92,failure,married,secondary,no,19,139,4,0,-0.049861915,0
3917,42,technician,4945,yes,no,cellular,mar,2,-1,unknown,married,secondary,no,2,311,0,0,-0.08402026,1
1443,57,housemaid,2326,no,no,cellular,oct,1,194,success,married,tertiary,no,28,207,1,0,-0.03024996,1
6434,48,blue-collar,214,yes,yes,cellular,may,1,177,failure,married,primary,no,14,307,2,0,-0.018156411,1
2592,59,management,296,no,yes,cellular,jul,3,-1,unknown,married,tertiary,no,15,805,0,0,-0.06821372,1
3714,27,technician,58,yes,no,unknown,may,1,-1,unknown,married,secondary,no,28,82,0,0,-0.09309497,0
7179,49,admin,197,yes,no,cellular,apr,1,182,failure,married,secondary,no,13,223,2,0,-0.05600788,1
2920,59,retired,1033,no,no,unknown,jun,1,-1,unknown,married,unknown,no,11,1199,0,0,-0.05511793,1
3226,34,admin,124,yes,no,telephone,may,4,366,other,married,secondary,no,14,604,2,1,0.0010820293,1
5509,42,self-employed,0,no,no,cellular,aug,4,-1,unknown,married,secondary,no,14,277,0,0,-0.081377745,0
1300,33,management,349,no,no,cellular,aug,1,-1,unknown,single,tertiary,no,22,182,0,0,-0.10140033,0
1329,43,unemployed,0,yes,no,cellular,jul,2,-1,unknown,divorced,secondary,no,24,229,0,0,-0.052230664,0
6816,31,admin,747,yes,no,unknown,may,2,-1,unknown,single,secondary,no,26,543,0,0,-0.07567662,1
5250,37,blue-collar,509,yes,no,cellular,apr,1,-1,unknown,married,secondary,no,20,172,0,0,-0.09560666,0
2466,28,student,5916,no,no,cellular,may,1,63,failure,single,secondary,no,22,259,5,0,-0.025233464,0
1400,38,admin,0,yes,no,cellular,jul,1,-1,unknown,divorced,secondary,no,21,93,0,0,-0.064866275,0
5277,55,blue-collar,7561,no,no,unknown,jun,3,-1,unknown,married,unknown,no,6,685,0,0,-0.055464845,1
4601,34,management,179,yes,no,cellular,nov,1,-1,unknown,married,tertiary,no,20,184,0,0,-0.090762064,0
4748,57,services,84,yes,no,unknown,may,1,-1,unknown,married,secondary,no,15,59,0,0,-0.0783299,0
1545,36,admin,10041,yes,no,cellular,nov,2,184,other,single,secondary,no,20,91,1,0,-0.01887329,0
1709,40,blue-collar,1515,yes,no,cellular,aug,1,-1,unknown,married,secondary,no,10,503,0,0,-0.10129965,1
4252,30,services,1649,yes,no,unknown,may,1,-1,unknown,single,secondary,no,23,206,0,0,-0.07460242,0
6604,28,blue-collar,-127,yes,no,cellular,jul,3,-1,unknown,single,secondary,no,4,1044,0,0,-0.065889195,1
3665,30,admin,4457,yes,no,cellular,nov,4,-1,unknown,married,secondary,no,21,566,0,0,-0.090215385,1
858,56,management,442,no,no,unknown,may,3,-1,unknown,divorced,tertiary,no,28,77,0,0,-0.039660163,0
7299,32,management,0,yes,no,cellular,apr,2,-1,unknown,single,tertiary,no,20,415,0,0,-0.083085254,0
3276,64,retired,630,no,no,cellular,aug,1,-1,unknown,divorced,secondary,no,21,97,0,0,-0.043776684,0
2224,27,student,91,no,no,telephone,dec,6,95,other,single,secondary,no,4,157,37,1,0.058729555,0
5927,29,services,192,no,no,cellular,jan,4,-1,unknown,single,secondary,no,30,327,0,0,-0.07041265,0
5655,32,technician,0,no,no,cellular,aug,4,-1,unknown,single,tertiary,no,20,72,0,0,-0.09434254,0
2781,31,management,22867,yes,no,unknown,may,2,-1,unknown,married,tertiary,no,27,241,0,0,-0.061924748,0
